동,10-60세_생활
가양1동,38409.806794196425
가양2동,9284.112080357143
가양3동,7418.582583035714
공항동,24540.875097470238
등촌1동,17957.37683095238
등촌2동,11257.435035416665
등촌3동,28447.025940029765
발산1동,24244.89834910714
방화1동,22510.09395044643
방화2동,16656.265053869047
방화3동,11228.249002232144
염창동,23258.279459970236
우장산동,23900.48941324405
화곡1동,34052.701927083326
화곡2동,9085.020372619048
화곡3동,13523.452655505951
화곡4동,11698.387465029762
화곡6동,14830.287410267856
화곡8동,20148.22168645833
화곡본동,20791.884573511907
