동,10-60세_주민
염창동,30614.0
등촌1동,18796.0
등촌2동,14167.0
등촌3동,19054.0
화곡1동,37068.0
화곡2동,12457.0
화곡3동,14412.0
화곡4동,13766.0
화곡본동,24881.0
화곡6동,17753.0
화곡8동,16799.0
가양1동,27360.0
가양2동,7569.0
가양3동,9059.0
발산1동,26019.0
우장산동,30636.0
공항동,20919.0
방화1동,29015.0
방화2동,15136.0
방화3동,13991.0
