동,중고거래횟수
가양2동,852
등촌3동,1060
등촌1동,1342
화곡2동,920
방화2동,695
공항동,1633
등촌2동,486
화곡6동,1041
방화1동,2440
가양3동,496
염창동,1973
우장산동,1286
화곡1동,2418
가양1동,1404
방화3동,919
화곡본동,2100
화곡3동,1322
화곡4동,775
발산1동,2915
화곡8동,1729
